,Language,count,percentage
0,English,150,65.21739130434783
1,Spanish,15,6.521739130434782
2,Polish,9,3.91304347826087
3,Portuguese,9,3.91304347826087
4,Hungarian,6,2.608695652173913
5,Italian,5,2.1739130434782608
6,Greek,4,1.7391304347826086
7,German,3,1.3043478260869565
8,Swahili,3,1.3043478260869565
9,Other,2,0.8695652173913043
10,Afrikaans,2,0.8695652173913043
11,Russian,2,0.8695652173913043
12,Romanian,2,0.8695652173913043
13,Turkish,2,0.8695652173913043
14,Slovenian,2,0.8695652173913043
15,Czech,1,0.43478260869565216
16,Vietnamese,1,0.43478260869565216
17,Korean,1,0.43478260869565216
18,Croatian,1,0.43478260869565216
19,Estonian,1,0.43478260869565216
20,French,1,0.43478260869565216
21,Tagalog-Filipino,1,0.43478260869565216
22,Slovak,1,0.43478260869565216
23,Chinese,1,0.43478260869565216
24,Mandarin,1,0.43478260869565216
25,CONSENT_REVOKED,1,0.43478260869565216
26,Urdu,1,0.43478260869565216
27,Bengali,1,0.43478260869565216
28,Serbian,1,0.43478260869565216
